Company,Job,Listing Date,Location,Work Type,Teaser job,Job ID,Classification,Sub Classification,Job_URL,Classification_encoded,Cluster
Bussan Auto Finance,Marketing Head Dana Syariah Car - Makassar,9 hari yang lalu,"Makassar, Sulawesi Selatan",Full time,Dibutuhkan posisi marketing head untuk pembiayaan produk mobil baru (new car financing) untuk penempatan Makassar,81580229,Penjualan,Koordinator Penjualan,https://id.jobstreet.com/id/job/81580229,15,0
Akseleran,Relationship Manager Borrower Makassar - Dealer Financing (Used Car),25 hari yang lalu,"Makassar, Sulawesi Selatan",Full time,Relationship Manager Borrower - Dealer Financing (Used Car),81188422,Penjualan,Manajemen Akun & Relasi,https://id.jobstreet.com/id/job/81188422,15,0
,Account Executive,14 hari yang lalu,"Makassar, Sulawesi Selatan",Full time,Memecahkan masalah untuk klien dengan memahami dan melampaui harapan mereka - Menggambarkan nilai produk dan layanan untuk menciptakan peluang pert...,81482250,Penjualan,Pengembangan Bisnis Baru,https://id.jobstreet.com/id/job/81482250,15,0
,MARKETING FITNES CENTER,10 hari yang lalu,"Gowa, Sulawesi Selatan",Full time,Penghasilan yang Menarik dengan sistem Komisi dan Bonus,81567951,Pemasaran & Komunikasi,Komunikasi Pemasaran,https://id.jobstreet.com/id/job/81567951,12,0
,Marketing Project Specialist (B2G / Tender),26 hari yang lalu,"Makassar, Sulawesi Selatan",Full time,Marketing Project,81076840,Pemasaran & Komunikasi,Komunikasi Pemasaran,https://id.jobstreet.com/id/job/81076840,12,0
Sns.Ac,Account & Relationship Management (Area Sulawesi & Jawa Timur),29 hari yang lalu,Sulawesi Selatan,Kontrak,-,81101664,Penjualan,Manajemen Akun & Relasi,https://id.jobstreet.com/id/job/81101664,15,0
PT Artesis Indonesia,Lowongan Kerja sebagai Senior Geologist di PT Artesis Indonesia Penempatan Bone,30+ hari yang lalu,"Bone, Sulawesi Selatan",Full time,"Berikut ini adalah Informasi Lowongan Kerja dari PT Artesis Indonesia untuk posisi:
DIBUTUHKAN SEGERA:
Senior Geologist
TUGAS DAN TANGGUNG JAWAB
Me...",80667939,"Pertambangan, Sumber Daya Alam & Energi",Pertambangan – Eksplorasi & Geosains,https://id.jobstreet.com/id/job/80667939,18,0
Edukasi Mandiri Pratama,Progress Advisor,18 hari yang lalu,"Makassar, Sulawesi Selatan",Kontrak,PA,81353129,Penjualan,Manajemen Akun & Relasi,https://id.jobstreet.com/id/job/81353129,15,0
Laris Manis Utama,Sales Development Program Batch 9(SDP),22 hari yang lalu,Sulawesi Selatan,Full time,Deskripsi Pekerjaan:Melakukan &amp; Meningkatkan Penjualan sesuai Target yang telah ditentukan.Memonitor &amp; Kontrol aktivitas penjualan termasuk...,81273498,Penjualan,Manajemen,https://id.jobstreet.com/id/job/81273498,15,0
,Sales Executive,10 hari yang lalu,"Makassar, Sulawesi Selatan",Kontrak,"Karir menjanjikan di perusahaan otomotif terkemuka, kompensasi menarik, dan kesempatan pengembangan profesional.",81553665,Penjualan,Perwakilan/Konsultan Penjualan,https://id.jobstreet.com/id/job/81553665,15,0
